,ml_style,r2_test,r2_train,run_time,l_x,l_y
0,linear,0.5955336708517758,0.5797334731097953,0:00:01.111596,60,5
1,linear,0.8939371262583273,0.8884317450586723,0:00:00.898086,60,1
