,gnn_style,r2_test,r2_train,run_time,l_x,l_y,hidden_dim,lr,epochs
0,ResGraphNet,0.9546215410410281,0.9701524647492525,0:01:24.583823,60,1,64,0.0001,4000
1,ResGraphNet,0.9506681133755561,0.9619287120549295,0:01:37.723826,60,2,64,0.0001,4000
2,ResGraphNet,0.9261713634673897,0.9589640167229282,0:03:01.307634,60,5,64,0.0001,4000
3,ResGraphNet,0.9189299336486808,0.881294616147873,0:03:02.256484,60,12,64,0.0001,4000
