,gnn_style,r2_test,r2_train,run_time,l_x,l_y,hidden_dim,lr,epochs
0,GraphSage,0.590226790802973,0.3749613135395661,0:04:24.026917,60,12,64,0.0001,8000
1,GraphSage,0.6390173225279066,0.6457365500346166,0:02:59.941197,60,1,64,0.0001,8000
