,ts_name,gnn_style_1,r2_test_gnn_1,gnn_style_2,r2_test_gnn_2,r2_test_res,r2_test_forest,r2_test_linear,r2_test_svr,r2_test_sgd,l_x,l_y,hidden_dim,batch_size,num_layers,epochs_gnn,lr_gnn,epochs_res,lr_res
0,traffic_sam,ResGraphNet,0.9270030205403346,GraphSage,-0.3059248849012173,0.0006644286871891891,-0.061349383562782744,0.011977875357731205,-0.058053654407836275,0.027850606421484514,60,1,64,64,1,8000,0.0001,50,0.0001
1,traffic_sam,ResGraphNet,0.8927466838982331,GraphSage,-0.36006077314856033,-0.03656816201013302,-0.06984319554391494,0.009930620286021874,-0.0636538760609795,0.025802229395840093,60,2,64,64,1,8000,0.0001,50,0.0001
2,traffic_sam,ResGraphNet,0.5963826369450842,GraphSage,-0.23920971223897736,-0.046099002720521476,-0.06846064583909106,0.003021589871032293,-0.0685510320904057,0.014457035141362762,60,5,64,64,1,8000,0.0001,50,0.0001
3,traffic_sam,ResGraphNet,0.053446884866194644,GraphSage,-0.16440471519685085,-0.014102712805805107,-0.08716612193236895,-0.006178590264420247,-0.07049750865306303,0.0014436323396067596,60,10,64,64,1,8000,0.0001,50,0.0001
4,electricity_sam,ResGraphNet,0.7721010445475711,GraphSage,0.6544927268246844,0.6747344731638071,0.6701016455643527,0.7330815334158234,0.6896526642993628,-7.989423432394062e+23,60,10,64,64,1,8000,0.0001,50,0.0001
